AGE GROUP (YEARS),Period,NUM_WOMEN,STATE
75–79,2014–2015,5021,WA
75–79,2015–2016,598,ACT
75–79,2015–2016,12109,NSW
75–79,2015–2016,116,NT
75–79,2015–2016,13519,QLD
75–79,2015–2016,5165,SA
75–79,2015–2016,725,TAS
75–79,2015–2016,10084,VIC
75–79,2015–2016,5407,WA
75–79,2016-2017,655,ACT
75–79,2016-2017,12962,NSW
75–79,2016-2017,129,NT
75–79,2016-2017,14189,QLD
75–79,2016-2017,5377,SA
75–79,2016-2017,799,TAS
75–79,2016-2017,10169,VIC
75–79,2016-2017,5886,WA
80–84,2008–2009,91,ACT
80–84,2008–2009,2403,NSW
80–84,2008–2009,11,NT
80–84,2008–2009,2343,QLD
80–84,2008–2009,1195,SA
80–84,2008–2009,228,TAS
80–84,2008–2009,1865,VIC
80–84,2008–2009,922,WA
80–84,2009–2010,88,ACT
80–84,2009–2010,2436,NSW
80–84,2009–2010,14,NT
80–84,2009–2010,2441,QLD
80–84,2009–2010,1266,SA
80–84,2009–2010,227,TAS
80–84,2009–2010,1913,VIC
80–84,2009–2010,1003,WA
80–84,2010–2011,90,ACT
80–84,2010–2011,2403,NSW
80–84,2010–2011,16,NT
80–84,2010–2011,2488,QLD
80–84,2010–2011,1380,SA
80–84,2010–2011,229,TAS
80–84,2010–2011,1924,VIC
80–84,2010–2011,1087,WA
80–84,2011–2012,99,ACT
80–84,2011–2012,2542,NSW
80–84,2011–2012,12,NT
80–84,2011–2012,2544,QLD
80–84,2011–2012,1540,SA
80–84,2011–2012,232,TAS
80–84,2011–2012,2307,VIC
80–84,2011–2012,1219,WA
80–84,2012–2013,112,ACT
80–84,2012–2013,2726,NSW
80–84,2012–2013,19,NT
80–84,2012–2013,2695,QLD
80–84,2012–2013,1616,SA
80–84,2012–2013,258,TAS
80–84,2012–2013,2918,VIC
80–84,2012–2013,1390,WA
80–84,2013–2014,128,ACT
80–84,2013–2014,2756,NSW
80–84,2013–2014,21,NT
80–84,2013–2014,2749,QLD
80–84,2013–2014,1626,SA
80–84,2013–2014,250,TAS
80–84,2013–2014,2956,VIC
